event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession
1723218254,5476240,1H,0,1,00:00:01.156,2.156312,pass,"back_pass, short_or_medium_pass",50,49,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,543793,J. Zirkzee,CF,True,171.0,12.0,496214.0,N. Domínguez,AMF,39.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,0.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218255,5476240,1H,0,3,00:00:03.491,4.491636,pass,"lateral_pass, short_or_medium_pass",39,52,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,496214,N. Domínguez,AMF,True,131.0,18.0,523944.0,S. Beukema,RCB,28.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,1.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218256,5476240,1H,0,5,00:00:05.666,6.666649,pass,"forward_pass, short_or_medium_pass",28,72,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,523944,S. Beukema,RCB,True,15.0,11.0,471029.0,M. Aebischer,DMF,38.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,2.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218257,5476240,1H,0,6,00:00:06.613,7.613369,pass,"lateral_pass, short_or_medium_pass",38,76,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,471029,M. Aebischer,DMF,True,119.0,13.0,282799.0,S. Posch,RB,32.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,3.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218258,5476240,1H,0,8,00:00:08.290,9.290001,pass,"forward_pass, progressive_pass, short_or_medium_pass",32,93,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,282799,S. Posch,RB,True,-3.0,19.0,541676.0,D. Ndoye,RAMF,50.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,4.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218229,5476240,1H,0,9,00:00:09.331,10.331259,duel,loose_ball_duel,50,9,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,344132,T. Hernández,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,5.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218259,5476240,1H,0,10,00:00:10.793,11.793756,duel,"loose_ball_duel, carry",50,91,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,541676,D. Ndoye,RAMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.343,44.0,90.0,1723218254.0,17.8120765,['attack'],11.0,6.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218262,5476240,1H,0,12,00:00:12.375,13.375544,pass,"lateral_pass, short_or_medium_pass",44,90,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,541676,D. Ndoye,RAMF,True,-94.0,13.0,282799.0,S. Posch,RB,43.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,7.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218263,5476240,1H,0,14,00:00:14.184,15.184659,pass,"lateral_pass, long_pass, pass_to_final_third, progressive_pass",43,71,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,282799,S. Posch,RB,True,-56.0,47.0,92900.0,C. Lykogiannis,LB,68.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,8.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218270,5476240,1H,0,18,00:00:18.040,19.040539,touch,carry,68,13,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,92900,C. Lykogiannis,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.554,76.0,20.0,1723218254.0,17.8120765,['attack'],11.0,9.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218271,5476240,1H,0,19,00:00:19.493,20.493981,shot,opportunity,76,20,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,92900,C. Lykogiannis,LB,,,,,,,,,left_foot,False,False,ptl,0.01281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218254.0,17.8120765,['attack'],11.0,10.0,50.0,49.0,76.0,20.0,3166.0,Bologna,4-1-3-2,True,False,False,left,0.0128
1723218238,5476240,1H,0,22,00:00:22.731,23.731063,clearance,"head_pass, recovery, under_pressure",4,30,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,344132,T. Hernández,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218238.0,1.6633475,[],2.0,0.0,4.0,30.0,0.0,30.0,3157.0,Milan,4-3-3,,,,,
1723218239,5476240,1H,0,26,00:00:26.027,27.027887,game_interruption,ball_out,0,30,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218238.0,1.6633475,[],2.0,1.0,4.0,30.0,0.0,30.0,3157.0,Milan,4-3-3,,,,,
1723218273,5476240,1H,0,27,00:00:27.197,28.197056,game_interruption,ball_out,100,89,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723218279,5476240,1H,1,3,00:01:03.131,64.131221,corner,loss,100,100,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,445146,L. Ferguson,LAMF,False,-102.0,40.0,134496.0,M. Maignan,GK,92.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218279.0,6.4588235,"['corner', 'set_piece_attack']",2.0,0.0,100.0,100.0,87.0,56.0,3166.0,Bologna,4-1-3-2,,,,,
1723218240,5476240,1H,1,5,00:01:05.465,66.465799,goalkeeper_exit,,8,58,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,134496,M. Maignan,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218279.0,6.4588235,"['corner', 'set_piece_attack']",2.0,1.0,100.0,100.0,87.0,56.0,3166.0,Bologna,4-1-3-2,,,,,
1723218241,5476240,1H,1,13,00:01:13.714,74.71429,pass,"hand_pass, lateral_pass, recovery, short_or_medium_pass",13,44,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,134496,M. Maignan,GK,True,60.0,17.0,521375.0,M. Thiaw,RCB,21.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,0.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218242,5476240,1H,1,15,00:01:15.604,76.604233,touch,carry,21,65,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,521375,M. Thiaw,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.502,29.0,63.0,1723218241.0,27.4754245,[],14.0,1.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218243,5476240,1H,1,19,00:01:19.887,80.88744,pass,"lateral_pass, short_or_medium_pass",29,63,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,521375,M. Thiaw,RCB,True,-90.0,14.0,291591.0,F. Tomori,LCB,29.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,2.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
