Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,flank_right,flank_left,flank_center,accurate,not_accurate
114865,1789814554,5476307,2H,92,48,01:32:48.284,5653.284798,pass,"cross, lateral_pass, long_pass",91,14,3315,Sassuolo,4-1-4-1,3236,Monza,3-4-3,134174,Samu Castillejo,RCMF,True,90.0,52.0,405065.0,N. Bajrami,LCMF,91.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1789814544.0,30.977742,"['set_piece_attack', 'attack', 'free_kick']",11.0,6.0,56.0,32.0,100.0,77.0,3315.0,Sassuolo,4-1-4-1,False,False,False,center,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400358,2092409519,5476477,2H,60,51,01:00:51.283,3922.283976,pass,"cross, forward_pass, loss",73,21,3161,Internazionale,3-5-2,3158,Roma,3-5-2,405597,A. Bastoni,LCB3,True,45.0,4.0,405597.0,A. Bastoni,LCB3,76.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2092410052.0,38.11797,"['attack', 'throw_in']",14.0,10.0,57.0,0.0,97.0,50.0,3161.0,Internazionale,3-5-2,False,False,False,left,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
274004,1877317136,5476402,1H,10,6,00:10:06.509,607.509483,pass,"cross, deep_completed_cross, lateral_pass, pass_to_penalty_area, progressive_pass",85,88,3159,Juventus,3-5-2,3254,Frosinone,5-4-1,209117,A. Rabiot,LCMF3,True,-72.0,28.0,99452.0,A. Milik,SS,93.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1877317119.0,25.600412,"['attack', 'throw_in']",16.0,9.0,80.0,100.0,97.0,61.0,3159.0,Juventus,3-5-2,False,False,False,right,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
65266,1762928021,5476278,2H,78,43,01:18:43.531,4910.531582,pass,"cross, lateral_pass, loss, pass_to_penalty_area",90,82,3192,Salernitana,3-4-1-2,3185,Torino,3-4-2-1,20556,A. Candreva,RCMF,False,-74.0,18.0,491451.0,A. Buongiorno,CB,95.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1762928007.0,26.573551,"['attack', 'throw_in']",13.0,12.0,75.0,100.0,95.0,57.0,3192.0,Salernitana,3-4-1-2,False,False,False,right,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
420032,2097099129,5476489,1H,20,51,00:20:51.193,1252.193579,pass,"cross, cross_blocked",92,10,3194,Hellas Verona,4-4-2,3159,Juventus,3-5-2,615121,J. Cabal,LB,False,-176.0,97.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2097099101.0,38.41671,"['attack', 'transition_medium']",21.0,19.0,48.0,42.0,95.0,16.0,3194.0,Hellas Verona,4-4-2,False,False,False,left,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
437680,2099810710,5476499,2H,81,25,01:21:25.899,5019.899837,pass,"cross, lateral_pass, loss, pass_to_penalty_area",96,11,3315,Sassuolo,4-2-3-1,3178,Empoli,4-1-4-1,405065,N. Bajrami,LAMF,False,103.0,21.0,496427.0,S. Walukiewicz,RCB,91.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2099810707.0,16.689807,['attack'],10.0,4.0,37.0,72.0,90.0,39.0,3315.0,Sassuolo,4-2-3-1,False,False,False,left,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
444076,2114890009,5476503,2H,59,14,00:59:14.450,3768.450185,pass,"cross, deep_completed_cross, lateral_pass, pass_to_penalty_area, progressive_pass",95,87,3161,Internazionale,3-5-2,3193,Genoa,3-5-2,372255,L. Martínez,CF,True,-85.0,21.0,340646.0,B. Pavard,RCB3,97.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2114889999.0,15.746656,"['corner', 'set_piece_attack', 'attack']",11.0,8.0,100.0,0.0,97.0,56.0,3161.0,Internazionale,3-5-2,False,False,False,right,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
454579,2119587292,5476511,1H,26,48,00:26:48.359,1609.359051,pass,"cross, cross_blocked, touch_in_box",85,77,3192,Salernitana,4-3-1-2,3173,Cagliari,4-4-1-1,586584,L. Tchaouna,SS,False,45.0,22.0,0.0,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2119587261.0,41.4084685,"['attack', 'throw_in']",24.0,16.0,42.0,100.0,100.0,19.0,3192.0,Salernitana,4-3-1-2,False,False,False,right,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
395490,2087628439,5476474,2H,71,14,01:11:14.134,4425.134818,pass,"cross, deep_completed_cross, lateral_pass, pass_to_penalty_area, progressive_pass",74,11,3159,Juventus,4-1-4-1,3163,Udinese,5-3-2,70084,Alex Sandro,LB,True,62.0,36.0,209117.0,A. Rabiot,RCMF,90.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2087628430.0,30.939098,"['attack', 'throw_in']",12.0,8.0,22.0,100.0,89.0,67.0,3159.0,Juventus,4-1-4-1,False,False,False,left,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
426799,2100199123,5476493,1H,24,15,00:24:15.974,1456.97452,pass,"cross, deep_completed_cross, key_pass, lateral_pass, pass_to_penalty_area, progressive_pass, shot_assist",81,82,3163,Udinese,5-3-2,3193,Genoa,3-5-2,333212,S. Lovrič,RCMF3,True,-63.0,30.0,562387.0,L. Lucca,CF,94.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2100199122.0,3.1926095,['attack'],6.0,1.0,85.0,75.0,94.0,43.0,3163.0,Udinese,5-3-2,True,False,False,right,0.2588,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
