Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save
20036,1733178329,5476252,1H,0,32,00:00:32.534,33.534377,interception,,57,9,3254,Frosinone,4-1-4-1,3172,Atalanta,3-4-1-2,347015,R. Marchizza,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1733176965.0,9.8786175,['throw_in'],5.0,4.0,32.0,0.0,43.0,91.0,3172.0,Atalanta,3-4-1-2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372391,2080815546,5476461,1H,11,39,00:11:39.433,700.433202,interception,"back_pass, pass, recovery, counterpressing_recovery, short_or_medium_pass",95,5,3315,Sassuolo,4-2-3-1,3166,Bologna,4-1-4-1,437238,A. Laurienté,LAMF,True,158.0,10.0,626726.0,L. Lipani,LDMF,86.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2080813757.0,12.3852395,['throw_in'],10.0,2.0,6.0,100.0,3.0,71.0,3166.0,Bologna,4-1-4-1,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224602,1859020948,5476372,2H,64,19,01:04:19.705,3990.705273,interception,"recovery, counterpressing_recovery",60,94,3173,Cagliari,4-4-1,3162,Lazio,4-3-3,737882,M. Prati,RCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1859020941.0,10.889773,['transition_medium'],9.0,7.0,63.0,80.0,87.0,63.0,3173.0,Cagliari,4-4-1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28058,1743613646,5476256,1H,44,1,00:44:01.988,2642.988709,interception,"forward_pass, pass, pass_to_final_third, recovery, short_or_medium_pass",55,92,3236,Monza,3-4-2-1,3178,Empoli,4-2-3-1,22883,A. Izzo,RCB3,True,9.0,13.0,478313.0,S. Birindelli,RWB,67.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1743613646.0,2.693424,['transition_medium'],3.0,0.0,55.0,92.0,70.0,95.0,3236.0,Monza,3-4-2-1,,,,,,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44657,1744273846,5476266,1H,24,59,00:24:59.378,1500.378873,interception,loss,14,54,3157,Milan,4-2-3-1,3158,Roma,5-3-2,257028,D. Calabria,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1744272840.0,29.813239,"['attack', 'transition_medium']",16.0,7.0,36.0,21.0,77.0,5.0,3158.0,Roma,5-3-2,False,False,False,left,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347431,1972297429,5476446,2H,46,27,00:46:27.328,2900.328046,interception,,11,76,3192,Salernitana,4-3-3,3193,Genoa,3-5-2,104937,N. Gyömbér,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1972297382.0,14.7866755,"['counterattack', 'transition_low']",9.0,8.0,5.0,87.0,89.0,24.0,3193.0,Genoa,3-5-2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217243,1856239596,5476368,1H,26,13,00:26:13.213,1574.213752,interception,acceleration,72,89,3162,Lazio,4-3-3,3192,Salernitana,3-4-2-1,40806,Felipe Anderson,RWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1856239534.0,20.5971985,['transition_medium'],12.0,10.0,41.0,21.0,12.0,29.0,3192.0,Salernitana,3-4-2-1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
458933,2124455257,5476514,1H,6,49,00:06:49.384,410.384395,interception,recovery,18,72,3159,Juventus,5-4-1,3172,Atalanta,3-4-3,471348,W. McKennie,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2124455050.0,15.884078,"['attack', 'transition_medium']",10.0,5.0,42.0,39.0,94.0,15.0,3172.0,Atalanta,3-4-3,False,False,False,left,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296304,1961652312,5476415,2H,82,6,01:22:06.634,5077.634325,interception,recovery,21,92,3162,Lazio,4-3-3,3254,Frosinone,3-4-2-1,228928,A. Marušić,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1961651977.0,10.8143165,['transition_medium'],8.0,7.0,35.0,6.0,79.0,8.0,3254.0,Frosinone,3-4-2-1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68236,1778567230,5476280,2H,51,6,00:51:06.875,3196.875505,interception,,4,85,3172,Atalanta,3-4-3,3173,Cagliari,4-4-2,50007,B. Djimsiti,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1778568330.0,13.2168185,"['attack', 'transition_medium']",10.0,9.0,36.0,16.0,96.0,15.0,3173.0,Cagliari,4-4-2,False,False,False,left,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83083,1770843513,5476289,1H,44,36,00:44:36.590,2677.59069,interception,"forward_pass, head_pass, pass, recovery, counterpressing_recovery, short_or_medium_pass",2,42,3163,Udinese,3-5-2,3176,Fiorentina,4-2-3-1,562387,L. Lucca,CF,True,-14.0,21.0,25770.0,F. Thauvin,SS,21.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1770843513.0,15.851332,[],6.0,0.0,2.0,42.0,47.0,100.0,3163.0,Udinese,3-5-2,,,,,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
