Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,on_target_true,on_target_false,goal_true,goal_false,right_foot_true,left_foot_true,head_or_other_true,head_or_other_foot_true
174579,1829897381,5476343,1H,39,29,00:39:29.171,2370.171156,shot,,73,26,3176,Fiorentina,4-2-3-1,3159,Juventus,5-3-2,388064,C. Kouamé,LAMF,,,,,,,,,right_foot,False,False,bc,0.008718,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1829897334.0,71.7896785,['attack'],36.0,35.0,29.0,28.0,73.0,26.0,3176.0,Fiorentina,4-2-3-1,True,False,False,right,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
85317,1770729327,5476290,2H,64,38,01:04:38.379,4082.379344,shot,"opportunity, shot_after_throw_in",79,55,3157,Milan,4-3-3,3173,Cagliari,4-4-1-1,472279,N. Okafor,CF,,,,,,,,,right_foot,False,False,otr,0.07474,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1770729326.0,0.3969275,['attack'],2.0,1.0,77.0,52.0,79.0,55.0,3157.0,Milan,4-3-3,True,False,False,center,0.0747,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
169592,1827754501,5476340,2H,55,48,00:55:48.226,3737.226656,shot,,77,30,3161,Internazionale,3-5-2,3172,Atalanta,4-2-3-1,20635,F. Acerbi,LCB3,,,,,,,,,left_foot,False,False,otl,0.00523,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1827752421.0,28.2715125,"['counterattack', 'attack']",14.0,13.0,40.0,17.0,77.0,30.0,3161.0,Internazionale,3-5-2,True,False,False,left,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
22784,1742407026,5476253,1H,44,53,00:44:53.291,2694.291787,shot,shot_after_throw_in,79,67,3159,Juventus,3-5-2,3166,Bologna,4-2-3-1,471774,T. Weah,RWB,,,,,,,,,right_foot,False,False,bc,0.001892,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1742407016.0,8.9867955,"['attack', 'throw_in']",9.0,8.0,71.0,0.0,79.0,67.0,3159.0,Juventus,3-5-2,True,False,False,center,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
12912,1725706015,5476247,2H,69,7,01:09:07.463,4334.463456,shot,"opportunity, touch_in_box",86,30,3315,Sassuolo,4-2-3-1,3172,Atalanta,3-4-1-2,624184,F. Missori,LB,,,,,,,,,right_foot,False,True,glb,0.06433,0.03942,1725705311.0,"{'id': 225704, 'name': 'J. Musso'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1725705996.0,21.956902,['attack'],11.0,10.0,24.0,78.0,86.0,30.0,3315.0,Sassuolo,4-2-3-1,True,True,False,left,0.0643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,
317176,1899869790,5476428,2H,65,14,01:05:14.573,3980.573199,shot,"goal, head_shot, opportunity, shot_after_corner, touch_in_box",92,52,3185,Torino,3-4-1-2,3187,Napoli,3-4-2,491451,A. Buongiorno,CB,,,,,,,,,head_or_other,True,True,gtr,0.1153,0.4947,1899870272.0,"{'id': 264084, 'name': 'P. Gollini'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1899869787.0,2.5552455,"['corner', 'set_piece_attack', 'attack']",4.0,3.0,100.0,0.0,92.0,52.0,3185.0,Torino,3-4-1-2,True,True,True,left,0.1153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.0
88330,1771814315,5476292,1H,43,36,00:43:36.340,2617.340507,shot,touch_in_box,90,34,3176,Fiorentina,4-4-2,3254,Frosinone,4-3-3,299172,M'Bala Nzola,CF,,,,,,,,,left_foot,False,False,otl,0.07472,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1771814280.0,38.548871,['attack'],17.0,16.0,40.0,82.0,90.0,34.0,3176.0,Fiorentina,4-4-2,True,False,False,right,0.0747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
334976,1937282645,5476439,1H,18,40,00:18:40.734,1121.734684,shot,"opportunity, touch_in_box",92,51,3178,Empoli,4-3-3,3194,Hellas Verona,4-4-1-1,300374,E. Gyasi,RWF,,,,,,,,,right_foot,False,False,bc,0.2103,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1937282634.0,18.3352525,"['attack', 'throw_in']",11.0,10.0,20.0,100.0,92.0,51.0,3178.0,Empoli,4-3-3,True,False,False,center,0.2103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
108476,1777958631,5476304,1H,19,31,00:19:31.463,1172.463015,shot,touch_in_box,86,66,3162,Lazio,4-3-3,3157,Milan,4-3-3,492443,V. Castellanos,CF,,,,,,,,,right_foot,False,False,bc,0.02279,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1777958614.0,39.255064,"['set_piece_attack', 'attack', 'free_kick']",17.0,16.0,52.0,94.0,86.0,66.0,3162.0,Lazio,4-3-3,True,False,False,right,0.0228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
469757,2128192309,5476521,2H,48,0,00:48:00.319,2896.319729,shot,opportunity,72,37,3178,Empoli,5-3-2,3166,Bologna,4-1-4-1,236820,R. Marin,DMF,,,,,,,,,right_foot,False,False,olb,0.02615,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2128192308.0,1.169586,['attack'],2.0,1.0,73.0,21.0,72.0,37.0,3178.0,Empoli,5-3-2,True,False,False,left,0.0262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
