Frame,Bbox,Score,Category_ID,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17
1,"[177.12, 359.18, 46.43, 90.79]",0.807,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(191.76, 362.86, 0.67)","(200.27, 361.01, 0.8)","(187.86, 373.49, 0.92)","(207.64, 370.81, 1.0)","(184.03, 388.45, 0.94)","(215.21, 383.16, 0.98)","(181.03, 400.75, 0.83)","(219.96, 395.09, 0.92)","(198.05, 399.93, 0.96)","(209.31, 398.9, 0.98)","(200.68, 424.0, 0.93)","(210.66, 420.91, 0.94)","(206.06, 445.08, 0.88)","(216.64, 440.51, 0.91)"
1,"[338.2, 345.98, 34.14, 92.57]",0.797,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(351.7, 347.87, 0.82)","(360.99, 348.31, 0.85)","(345.76, 358.46, 1.0)","(365.21, 360.56, 0.98)","(342.27, 373.85, 0.92)","(368.5, 376.78, 0.94)","(343.05, 387.96, 0.79)","(363.95, 387.98, 0.67)","(346.15, 386.84, 0.95)","(359.1, 388.42, 0.96)","(345.04, 408.56, 0.95)","(356.2, 411.48, 0.9)","(342.37, 428.16, 0.85)","(356.22, 434.3, 0.86)"
1,"[96.98, 302.94, 41.99, 77.49]",0.791,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(109.66, 305.6, 0.73)","(117.62, 304.66, 0.77)","(105.85, 314.33, 0.98)","(123.83, 312.61, 0.98)","(100.6, 327.88, 0.92)","(131.16, 323.76, 0.88)","(100.65, 338.63, 0.77)","(135.63, 335.03, 0.85)","(113.04, 337.21, 1.0)","(124.64, 336.68, 0.97)","(115.34, 354.94, 0.87)","(128.84, 357.01, 0.94)","(121.5, 367.24, 0.75)","(134.25, 375.72, 0.86)"
1,"[146.41, 259.5, 34.8, 81.97]",0.788,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(157.65, 261.83, 0.68)","(165.44, 261.21, 0.88)","(153.19, 272.35, 1.0)","(168.63, 271.14, 0.99)","(150.03, 287.69, 0.96)","(172.28, 284.77, 0.9)","(153.81, 298.62, 0.71)","(178.22, 293.57, 0.78)","(158.05, 296.71, 0.97)","(168.38, 295.58, 0.95)","(162.7, 315.79, 0.92)","(174.72, 315.27, 0.93)","(166.16, 337.09, 0.75)","(174.13, 337.17, 0.77)"
1,"[768.96, 251.19, 25.64, 83.19]",0.662,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(773.33, 253.2, 0.71)","(780.39, 252.71, 0.57)","(772.38, 263.28, 0.91)","(786.56, 262.22, 0.96)","(772.22, 275.04, 0.72)","(791.43, 274.63, 0.79)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(778.6, 287.06, 0.84)","(787.55, 286.34, 0.87)","(777.01, 309.97, 0.86)","(786.86, 308.71, 0.84)","(780.2, 330.32, 0.84)","(789.72, 328.68, 0.82)"
1,"[442.1, 265.3, 34.11, 79.67]",0.588,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(446.93, 267.82, 0.55)","(455.1, 266.65, 0.53)","(445.9, 276.02, 0.88)","(460.91, 274.34, 0.77)","(447.76, 289.82, 0.73)","(467.24, 285.99, 0.59)","(446.42, 302.05, 0.59)","(0.0, 0.0, 0.0)","(454.32, 299.65, 0.78)","(464.37, 297.85, 0.76)","(458.98, 320.95, 0.73)","(466.8, 319.47, 0.64)","(467.99, 340.56, 0.58)","(472.03, 339.98, 0.54)"
1,"[501.9, 244.09, 33.69, 80.25]",0.573,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(509.11, 245.76, 0.52)","(517.86, 245.6, 0.62)","(505.07, 255.57, 0.73)","(522.47, 254.78, 0.92)","(0.0, 0.0, 0.0)","(526.8, 266.38, 0.84)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(510.7, 278.77, 0.72)","(521.43, 278.0, 0.87)","(514.76, 300.1, 0.73)","(525.91, 295.8, 0.72)","(518.83, 320.02, 0.74)","(531.79, 306.68, 0.52)"
1,"[601.28, 255.99, 23.9, 78.01]",0.526,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(608.24, 257.65, 0.53)","(615.38, 257.47, 0.48)","(604.48, 266.81, 0.86)","(618.5, 266.2, 0.75)","(0.0, 0.0, 0.0)","(622.14, 277.33, 0.55)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(607.85, 290.92, 0.81)","(617.31, 290.62, 0.73)","(611.69, 311.46, 0.71)","(619.63, 310.53, 0.65)","(615.21, 330.43, 0.67)","(620.02, 326.4, 0.5)"
1,"[472.09, 254.48, 30.8, 72.31]",0.422,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(476.78, 255.88, 0.42)","(0.0, 0.0, 0.0)","(475.5, 265.12, 0.64)","(490.67, 263.57, 0.66)","(474.99, 277.22, 0.35)","(495.18, 275.32, 0.51)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(480.79, 286.0, 0.6)","(490.22, 285.5, 0.72)","(481.16, 304.83, 0.52)","(494.28, 304.2, 0.66)","(0.0, 0.0, 0.0)","(499.22, 323.12, 0.55)"
1,"[896.72, 277.69, 20.12, 68.14]",0.395,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(899.6, 280.57, 0.6)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(901.41, 305.5, 0.73)","(906.53, 305.41, 0.55)","(902.62, 325.3, 0.83)","(907.45, 323.78, 0.55)","(907.2, 342.41, 0.71)","(913.66, 339.21, 0.57)"
1,"[638.77, 290.08, 21.63, 70.68]",0.388,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(641.62, 296.15, 0.33)","(649.41, 292.91, 0.34)","(647.86, 307.12, 0.21)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(646.79, 320.14, 0.63)","(649.92, 318.09, 0.48)","(647.53, 338.52, 0.81)","(645.64, 336.81, 0.49)","(656.78, 357.13, 0.75)","(647.5, 354.36, 0.52)"
1,"[704.19, 260.38, 33.67, 70.83]",0.327,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(707.64, 263.83, 0.47)","(725.37, 264.64, 0.6)","(0.0, 0.0, 0.0)","(732.76, 273.51, 0.7)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(713.83, 287.3, 0.44)","(724.09, 286.85, 0.52)","(711.05, 306.35, 0.36)","(730.2, 306.75, 0.43)","(0.0, 0.0, 0.0)","(733.96, 327.31, 0.38)"
1,"[631.57, 250.97, 28.82, 34.41]",0.303,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(634.92, 257.06, 0.62)","(649.09, 255.02, 0.81)","(0.0, 0.0, 0.0)","(656.78, 266.02, 0.69)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(651.97, 280.9, 0.58)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
2,"[335.43, 346.86, 38.13, 95.17]",0.796,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(351.84, 348.78, 0.82)","(361.05, 349.33, 0.82)","(345.85, 359.5, 1.0)","(365.63, 361.82, 0.98)","(342.65, 374.69, 0.88)","(369.35, 378.35, 0.93)","(344.01, 389.75, 0.75)","(363.92, 389.45, 0.66)","(346.93, 390.05, 0.97)","(359.39, 390.86, 0.97)","(343.77, 409.61, 0.94)","(357.66, 413.9, 0.94)","(339.87, 429.29, 0.83)","(357.74, 437.26, 0.91)"
