Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession,back_pass,short_or_medium_pass,lateral_pass,forward_pass,progressive_pass,loose_ball_duel,carry,long_pass,pass_to_final_third,opportunity,head_pass,recovery,under_pressure,ball_out,loss,hand_pass,foul_suffered,ground_duel,linkup_play,offensive_duel,defensive_duel,foul,dribble,aerial_duel,counterpressing_recovery,pass,deep_completion,touch_in_box,interception,sliding_tackle,progressive_run,smart_pass,cross,deep_completed_cross,pass_to_penalty_area,second_assist,assist,key_pass,shot_assist,goal,conceded_goal,dribbled_past_attempt,shot_after_throw_in,shot_block,free_kick_cross,save,save_with_reflex,shot_after_corner,cross_blocked,through_pass,free_kick_shot,shot,head_shot,whistle,shot_after_free_kick,acceleration,penalty_foul,penalty_goal,penalty_conceded_goal,third_assist,penalty_save,flank_right,flank_left,flank_center,accurate,not_accurate,normal_pass,on_target_true,on_target_false,goal_true,goal_false,right_foot_true,left_foot_true,head_or_other_true,head_or_other_foot_true,video_timestamp_previous,video_timestamp_next,primary_type_next,primary_type_previous,video_timestamp_2_events_previous,video_timestamp_2_events_next,timestamp_previous_difference,timestamp_next_difference,begin_clip_timestamp,end_clip_timestamp,length_clip
18009,18057,300743,1884563666,5476418,2H,57,23,00:57:23.846,3706.846306,shot,"opportunity, shot_after_corner, touch_in_box",85,29,3166,Bologna,4-2-3-1,3163,Udinese,3-5-2,637858,K. Urbański,LAMF,,,,,,,,,left_foot,0.0,1.0,gl,0.03614,0.07057,1884563107.0,"{'id': 447620, 'name': 'M. Okoye'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1884563663.0,3.1812825,"['corner', 'set_piece_attack', 'attack']",5.0,4.0,100.0,100.0,85.0,29.0,3166.0,Bologna,4-2-3-1,True,True,False,center,0.0361,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,3705.641671,3707.323914,shot_against,touch,3704.731617,3719.892964,1.204635000000053,0.4776080000001457,3705.34051225,3707.443316,2.102803750000021
19781,19831,351913,1973244310,5476449,1H,17,59,00:17:59.546,1080.546132,shot,"opportunity, touch_in_box",90,46,3157,Milan,4-2-3-1,3163,Udinese,3-5-2,26010,O. Giroud,CF,,,,,,,,,left_foot,0.0,1.0,gb,0.2717,0.2418,1973244161.0,"{'id': 447620, 'name': 'M. Okoye'}",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1973244280.0,32.427714,"['set_piece_attack', 'attack', 'free_kick']",16.0,15.0,0.0,39.0,90.0,46.0,3157.0,Milan,4-2-3-1,True,True,False,center,0.2717,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,1078.99086,1081.960678,shot_against,pass,1077.246249,1107.014018,1.5552719999998317,1.414545999999973,1078.6020420000002,1082.3143145,3.712272499999699
12261,12286,367188,2044106158,5476458,1H,15,24,00:15:24.559,925.559271,pass,short_or_medium_pass,62,17,3158,Roma,4-3-3,3192,Salernitana,5-4-1,20404,B. Cristante,DMF,True,45.0,6.0,89186.0,P. Dybala,RWF,66.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2044106150.0,31.330544,"['attack', 'throw_in']",19.0,5.0,90.0,0.0,74.0,43.0,3158.0,Roma,4-3-3,False,False,False,center,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,1.0,,,,,,,,,923.811179,928.206913,pass,pass,922.27998,928.939728,1.7480919999999287,2.647642000000019,923.374156,928.8688235,5.494667499999878
14139,14173,37719,1742279475,5476262,1H,9,11,00:09:11.099,552.099371,pass,"forward_pass, recovery, counterpressing_recovery, short_or_medium_pass",70,78,3159,Juventus,3-5-2,3178,Empoli,4-3-3,609117,F. Miretti,RCMF3,True,45.0,15.0,471348.0,W. McKennie,RWB,80.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1742279461.0,53.413347,"['set_piece_attack', 'attack', 'free_kick']",22.0,13.0,27.0,71.0,95.0,45.0,3159.0,Juventus,3-5-2,False,False,False,left,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,1.0,,,,,,,,,549.492779,554.288729,pass,interception,547.791243,559.144523,2.606591999999978,2.18935799999997,548.841131,554.8360685,5.994937499999992
20362,20414,184379,1832229412,5476349,1H,10,21,00:10:21.558,622.558002,shot,,81,49,3194,Hellas Verona,3-5-2,3236,Monza,4-2-3-1,127534,D. Lazović,LCMF3,,,,,,,,,right_foot,0.0,0.0,bc,0.05333,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1832229405.0,15.37933,['attack'],10.0,9.0,57.0,54.0,81.0,49.0,3194.0,Hellas Verona,3-5-2,True,False,False,right,0.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,620.844082,622.929464,interception,duel,618.619401,626.959291,1.71392000000003,0.371462000000065,620.4156019999999,623.0223295000001,2.606727500000148
3291,3292,160385,1821612525,5476335,1H,21,39,00:21:39.903,1300.903846,duel,loose_ball_duel,8,63,3176,Fiorentina,4-2-3-1,3162,Lazio,4-3-3,21842,C. Biraghi,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1821612867.0,3.556704,"['set_piece_attack', 'attack', 'free_kick', 'free_kick_cross']",4.0,1.0,77.0,96.0,90.0,0.0,3162.0,Lazio,4-3-3,False,False,False,center,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1298.671797,1300.903846,duel,free_kick,1244.309605,1303.553156,2.232048999999961,0.0,1298.11378475,1300.903846,2.790061250000008
13670,13702,10366,1725461927,5476246,1H,17,51,00:17:51.649,1072.649668,pass,"forward_pass, head_pass, pass_to_final_third, short_or_medium_pass",61,45,3192,Salernitana,3-4-2-1,3158,Roma,5-3-2,474105,E. Botheim,CF,True,16.0,8.0,281887.0,G. Kastanos,AMF,68.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1725461922.0,17.3006575,"['set_piece_attack', 'free_kick']",13.0,6.0,41.0,94.0,62.0,68.0,3192.0,Salernitana,3-4-2-1,,,,,,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,,,,,,,,,1072.321975,1074.695294,duel,duel,1072.321975,1075.994614,0.3276929999999538,2.045626000000084,1072.321975,1075.2067005,2.8847255000000587
17425,17472,93742,1770816566,5476295,2H,59,47,00:59:47.860,3656.860686,pass,"forward_pass, progressive_pass, short_or_medium_pass",39,77,3159,Juventus,3-5-2,3168,Lecce,4-2-3-1,134427,D. Rugani,RCB3,True,19.0,27.0,471348.0,W. McKennie,RWB,64.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1770816552.0,52.54735,"['set_piece_attack', 'attack', 'free_kick']",26.0,11.0,30.0,23.0,87.0,23.0,3159.0,Juventus,3-5-2,False,False,False,right,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,1.0,,,,,,,,,3654.703015,3661.962848,pass,pass,3651.844943,3663.168534,2.1576709999999366,5.102162000000135,3654.16359725,3663.168534,9.00493675000007
14055,14089,307172,1920544386,5476422,1H,43,35,00:43:35.063,2616.06314,pass,"forward_pass, head_pass, short_or_medium_pass",37,22,3236,Monza,3-4-2-1,3254,Frosinone,3-4-3,637181,V. Carboni,AMF,True,41.0,11.0,426411.0,Dany Mota,CF,45.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1920544383.0,38.5537195,['attack'],17.0,2.0,29.0,27.0,59.0,100.0,3236.0,Monza,3-4-2-1,False,False,False,right,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,,,,,,,,,2615.45084,2617.116827,pass,pass,2614.475866,2617.940083,0.6123000000002321,1.053686999999627,2615.297765,2617.38024875,2.0824837499999376
11485,11510,49719,1736979512,5476269,1H,36,40,00:36:40.593,2201.593955,interception,,1,59,3163,Udinese,3-5-2,3254,Frosinone,4-1-4-1,485094,João Ferreira,RWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1736979512.0,0.653607,[],2.0,0.0,1.0,59.0,0.0,60.0,3163.0,Udinese,3-5-2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2200.033917,2202.901169,game_interruption,pass,2196.808814,2249.558416,1.560037999999622,1.3072140000003856,2199.6439075000003,2203.2279725000003,3.5840650000000096
