clip_id,true_label,predicted_label
1736889229,1,1
2090216778,1,1
1821612985,4,1
1809599986,0,0
1973244385,1,1
2091575355,1,2
2080815346,2,1
1856240167,2,1
1789944836,1,1
1810759849,1,1
1842385688,1,1
1960316230,3,1
1833401120,4,1
1724481567,2,0
2100199547,1,1
1850340446,2,1
1857294514,1,1
1960314819,3,1
1834873308,1,3
1868624972,0,0
1826541970,1,1
2099810630,2,0
1780914044,2,1
2044106109,1,1
1770707636,0,3
1781663155,4,1
1833399376,4,3
1736888549,3,2
1775799759,1,1
1789945939,2,1
1818891694,3,1
1795643856,1,0
2090599275,1,0
1850121642,1,1
1742280803,4,1
2091331021,1,1
1835297593,1,2
1850338678,1,1
1898279796,4,1
1733151643,2,0
1759922448,2,2
2080814864,2,1
1856238986,1,1
1747540531,2,1
2100200311,1,1
2106034776,1,3
1790032130,4,2
2041802830,4,1
1794258109,0,0
2100200541,3,1
1949437887,1,1
1790030586,2,1
1789946115,1,2
1821612519,4,1
1766250089,2,1
2091330267,4,0
1789812820,2,1
1742586499,3,3
1835296127,4,1
1809993637,4,1
1859020136,1,3
2010516270,3,0
1842386422,3,3
1758800290,0,0
1759873917,1,2
1791274024,1,1
2088962095,1,2
1783688286,4,1
1832489084,4,1
2098735393,4,1
1868624089,3,1
1827937338,1,0
2091329731,1,1
2051383371,2,0
1850338614,1,1
1734134699,1,1
1867212239,4,1
1866522653,1,0
1736892584,2,2
2120717798,2,2
1736979973,1,1
1871881240,4,2
1868624519,2,1
1871239241,2,0
2019366056,4,1
1741176900,1,0
1868918884,1,0
1832340387,3,1
1723219028,1,1
1830178215,1,1
1842385939,2,1
1873069500,4,2
2019366531,4,1
1788471618,1,2
1758799597,3,1
2135530415,0,2
1742280831,1,0
2099059025,1,2
1817219997,0,0
2098590691,4,1
1744276515,2,2
1767071330,1,1
1834876180,2,0
1791372101,1,0
2100200261,0,0
1860160337,1,1
1918281754,2,1
1819115694,1,1
1782421532,2,2
1770672605,1,2
1871240049,1,2
1762936186,2,2
1734632425,3,0
2070100099,1,0
1772936314,1,2
1809599503,1,4
2070099888,1,1
1837225415,1,0
1794258288,1,1
1829418476,4,1
1742405947,2,2
2089510221,4,2
2098736873,0,3
1770728482,2,1
1744274432,0,0
2099809944,4,1
1878456372,2,1
1794258652,1,1
1818187493,4,2
1869057431,2,1
2100200459,0,0
2010145705,3,2
1795643608,0,3
1809600228,4,2
1822447622,4,1
1817219460,4,1
1764770304,1,0
1822447807,4,1
2090216651,2,4
1785890110,1,3
1827752523,2,0
1863756381,1,2
2080404051,2,2
1789945590,3,1
1829419027,4,1
1852521938,1,3
1758799059,4,1
1736888778,3,2
1791371002,0,0
2098735978,2,1
2010515632,4,1
2080404782,1,1
1736890258,3,2
2099810296,2,2
1777959749,1,1
1987020910,4,1
