clip_id,true_label,predicted_label
1813545530,1,1
1813545443,1,1
2087627990,1,1
1762936526,0,1
2046110382,1,1
2099809376,1,1
1791372101,0,1
1809993151,1,1
1734135770,0,1
1773518338,1,1
2010144183,0,1
2099810732,1,1
2041803646,1,2
1742405297,0,1
2103780126,1,1
1781663946,0,1
1733177448,1,1
2099809367,1,1
1822446693,0,1
1744060400,1,1
1760588175,0,2
1834873308,0,1
1912512911,0,1
2097509898,2,1
1881961682,1,2
1789946293,1,1
1780914049,0,1
2105075111,1,2
1731018523,0,1
1815693506,2,2
1806298210,1,1
1723219195,2,1
1744223073,1,1
1868917474,2,1
1758800267,1,1
1861753683,0,1
1982623128,0,1
2099809711,0,1
1866521734,1,1
1725706376,0,1
1935501976,1,1
1734135704,1,2
1868918977,0,2
2091330278,1,1
1811579210,1,1
1759885645,0,1
1842386862,0,2
1817219787,1,1
1832229583,0,1
2005596368,0,1
2051382110,0,1
2088098450,1,1
1878456455,0,1
1819115219,0,1
1835297474,1,1
2046109657,1,1
1871880492,1,1
1770728929,0,1
1733151127,0,1
1775800876,1,1
1973245527,0,1
1725460670,1,1
1780913249,0,2
1832834325,1,1
1840065581,1,2
1819114256,2,1
1856240240,0,2
1768201989,0,2
2046109544,1,2
