clip_id,true_label,predicted_label
1809599986,0,1
1868624972,0,1
1770707636,0,0
1794258109,1,0
1758800290,0,0
2135530415,1,1
1817219997,2,1
2100200261,1,0
2098736873,0,1
1744274432,0,0
2100200459,1,0
1795643608,0,0
1791371002,0,1
2080404184,1,0
2010515466,2,1
1740058283,0,1
1733519384,0,0
1852520403,0,1
1837225606,1,1
1832339419,1,1
1835513865,1,0
1832340836,1,0
1758801669,1,0
1758799839,0,0
1977434559,0,0
1759887296,1,0
2103984784,1,1
1789945928,0,0
1797029208,1,1
2089508654,0,0
1861753404,0,1
1729533452,0,0
1884562474,0,1
1911882465,1,1
1878456588,1,1
1922678054,1,1
2091574559,0,1
1758800287,1,1
1774746553,0,1
1725704588,0,1
2087627491,0,0
